Time,T2,T2_WRF,PP_WRF,P_WRF,U10_WRF,V10_WRF
2018-08-01 00:00:00,5.941,7.134369,0.07815552,1022.5464,-0.20632333,-1.4313599
2018-08-01 01:00:00,5.748,6.8966675,0.033679962,1022.3985,0.95584667,-2.2512784
2018-08-01 02:00:00,6.76,6.429596,0.00019073486,1021.7737,1.3589635,-1.5056899
2018-08-01 03:00:00,7.067,5.858124,0.00048065186,1021.51544,1.6165515,-0.4863104
2018-08-01 04:00:00,6.777,5.532837,2.2888184e-05,1022.322,1.9519547,0.63754773
2018-08-01 05:00:00,7.09,5.1955566,0.0007324219,1021.97925,1.6016892,0.6844624
2018-08-01 06:00:00,6.868,5.2586975,0.00012588501,1022.3184,1.6703207,0.13184035
2018-08-01 07:00:00,6.447,4.7802124,0,1022.10034,1.9338923,-0.20508629
2018-08-01 08:00:00,6.874,4.580902,0,1022.1922,1.9954412,-0.20198672
2018-08-01 09:00:00,6.555,4.3597107,0,1022.2618,1.9769148,0.031185757
2018-08-01 10:00:00,6.464,4.151062,0,1022.1937,1.8721204,-0.28981656
2018-08-01 11:00:00,6.39,3.9967651,0,1022.12756,1.5541651,-1.0220699
2018-08-01 12:00:00,5.327,4.4411926,0,1021.9656,1.1445113,-0.73311114
2018-08-01 13:00:00,5.281,4.446045,0.022949219,1022.14905,0.72110474,-0.09026386
2018-08-01 14:00:00,8.608,4.744873,0.16194534,1021.99915,1.3032132,-0.7139393
2018-08-01 15:00:00,8.921,5.7894897,0.10171509,1021.84454,0.5010361,-0.910316
2018-08-01 16:00:00,8.114,7.105835,0.016746521,1021.57166,0.2376166,-1.0874094
2018-08-01 17:00:00,10.315,8.713654,0,1021.24634,0.4502725,-1.8203466
2018-08-01 18:00:00,10.161,8.996246,0.027797699,1021.2009,-0.3395484,-2.292216
2018-08-01 19:00:00,9.501,8.860077,0.15546799,1020.98016,-0.9555888,-3.213437
2018-08-01 20:00:00,9.501,8.750916,0.03042984,1020.77893,-1.3976592,-2.7568295
2018-08-01 21:00:00,9.206,8.139374,0,1020.5868,-1.1882532,-2.1910849
2018-08-01 22:00:00,6.282,7.7847595,0,1020.2545,-1.0653735,-2.3865893
2018-08-01 23:00:00,4.741,6.5852966,0,1019.82935,-0.73030555,-1.9363967
