Var1,Temperature__C_Cucao_radiacion2_,T2_WRF,Rain_Mm_Cucao_radiacion2_,PP_WRF,P_WRF,U10_WRF,V10_WRF
2018-08-01 00:00:00,7.62,9.063416,0,0.22592163,1021.3395,2.4411123,0.5819642
2018-08-01 01:00:00,6.51,8.90152,0,0.20404053,1021.45953,2.532445,-0.019746859
2018-08-01 02:00:00,6.03,8.8923645,0,0.13206482,1020.6399,3.1780677,-0.24086389
2018-08-01 03:00:00,5.95,8.976349,0,0.114730835,1020.60803,3.7191727,0.72474706
2018-08-01 04:00:00,6.28,9.0807495,0,0.13534546,1021.35297,4.1547756,1.0233217
2018-08-01 05:00:00,6.38,9.043793,0,0.16125488,1020.54626,3.8759675,1.1991394
2018-08-01 06:00:00,6.1,8.971313,0,0.16925049,1020.9639,3.453042,0.29728854
2018-08-01 07:00:00,5.57,8.628693,0,0.16371155,1020.8807,2.893455,-0.07339966
2018-08-01 08:00:00,5.46,8.48407,0,0.17218018,1020.9242,2.191007,-0.21927041
2018-08-01 09:00:00,5.49,8.416748,0,0.18180847,1020.8772,1.7915967,-0.6770779
2018-08-01 10:00:00,5.51,8.302185,0,0.19088745,1020.8253,0.90839446,-1.3359541
2018-08-01 11:00:00,5.44,8.19043,0,0.18765259,1020.9197,-0.47473592,-2.1432056
2018-08-01 12:00:00,4.56,8.212524,0,0.12466431,1020.6253,-0.14604509,-2.9210162
2018-08-01 13:00:00,4.9,8.171967,0,6.1035156e-05,1020.68787,-1.2615541,-3.150945
2018-08-01 14:00:00,6.15,8.0859375,0,0,1020.5839,0.27711108,-3.1499116
2018-08-01 15:00:00,8.59,8.397217,0,0,1020.39185,0.38226718,-2.2117276
2018-08-01 16:00:00,9.11,8.651642,0,0,1020.0963,1.6247742,-1.7483826
2018-08-01 17:00:00,9.58,8.66803,0,0,1019.93,1.9280843,-2.521481
2018-08-01 18:00:00,9.61,8.7221985,0,0,1019.75696,1.8771223,-2.7750883
2018-08-01 19:00:00,10.2,9.200562,0,0,1019.46405,1.9124365,-3.1170282
2018-08-01 20:00:00,9.51,9.205872,0,0,1019.2929,1.4841824,-3.360501
2018-08-01 21:00:00,9.53,9.140533,0,0,1019.00836,1.0468459,-3.338804
2018-08-01 22:00:00,8.37,8.872467,0,0,1018.6593,0.24938247,-3.2739284
2018-08-01 23:00:00,6.61,8.569061,0,0,1018.2508,-1.6503224,-3.1228383
2018-08-02 00:00:00,6.18,8.3532715,0,0,1017.88135,-2.086473,-3.2383308
2018-08-02 01:00:00,6.05,7.7941895,0,0,1017.1733,-1.7224529,-3.7643993
2018-08-02 02:00:00,4.9,7.7727966,0,0,1016.68823,-1.623771,-4.029004
2018-08-02 03:00:00,4.27,7.860901,0,0,1016.5786,-1.2038949,-3.9167356
2018-08-02 04:00:00,3.8,7.8616333,0,0,1015.7065,-1.7257537,-3.3923655
2018-08-02 05:00:00,2.8,7.8862915,0,0,1015.0881,-1.094769,-3.016564
2018-08-02 06:00:00,2.53,7.946228,0,0,1014.56006,-0.8779268,-3.633578
2018-08-02 07:00:00,3.43,7.9129333,0,0,1013.7863,-1.0175827,-4.071204
2018-08-02 08:00:00,3.77,8.16449,0,0,1012.78394,-1.4006871,-4.1247864
2018-08-02 09:00:00,3.83,8.291412,0,0,1012.0879,-0.37223133,-5.1463575
2018-08-02 10:00:00,4.69,8.186798,0,0,1011.5539,-0.0669104,-6.2283864
2018-08-02 11:00:00,7.02,8.230957,0,0,1010.7703,0.497433,-7.6505218
2018-08-02 12:00:00,4.82,8.415741,0,0,1010.0714,0.55745155,-8.938395
2018-08-02 13:00:00,6.84,8.607605,0,0,1009.2503,0.66756254,-9.78738
2018-08-02 14:00:00,10.34,8.856995,0,0,1008.48157,0.8710606,-10.501772
2018-08-02 15:00:00,9.88,9.100739,0,0,1007.7137,1.1338978,-11.360149
2018-08-02 16:00:00,10.12,9.148254,0,0.00036621094,1006.9481,0.82798743,-11.750716
2018-08-02 17:00:00,10.39,9.119629,0,0.0521698,1006.01544,1.5191109,-12.73649
2018-08-02 18:00:00,10.66,9.232971,0,0.07559204,1004.68536,2.4544535,-14.887278
2018-08-02 19:00:00,10.25,9.534363,0,0.033950806,1003.5396,2.7868297,-16.953308
2018-08-02 20:00:00,9.76,9.398743,0,0.035095215,1003.82544,1.9759115,-15.722091
2018-08-02 21:00:00,9.53,9.322998,0,0.034240723,1003.6816,2.4722717,-15.576519
2018-08-02 22:00:00,9.26,9.340973,0.2,0.19725037,1003.6856,1.8818597,-14.440835
2018-08-02 23:00:00,9.93,9.296478,0.2,2.0393524,1003.9325,4.1368947,-12.295241
2018-08-03 00:00:00,9.76,9.429352,0.2,0.9351654,1004.5293,7.752649,-7.4074564
