Time,T2,T2_WRF,PP,PP_WRF,P_WRF,U10_WRF,V10_WRF
2018-08-01 00:00:00,7.19,6.748535,0,0,1019.1702,2.268254,-0.6549202
2018-08-01 01:00:00,7.59,6.693207,0,0,1018.677,2.7419586,-0.8575024
2018-08-01 02:00:00,7.29,6.693512,0,0,1018.87915,2.6664696,-0.79549944
2018-08-01 03:00:00,7.67,6.621399,0,0,1019.043,2.5315301,-0.64627343
2018-08-01 04:00:00,7.69,6.5536804,0,0,1019.17334,1.9310663,-0.30007133
2018-08-01 05:00:00,7.54,6.2319336,0,0,1018.4805,1.6679722,-0.6181939
2018-08-01 06:00:00,7.54,6.040161,0,0,1018.8547,1.2417542,-0.74453676
2018-08-01 07:00:00,7.67,5.6195984,0,0,1018.9113,1.2722567,-1.0013003
2018-08-01 08:00:00,7.72,4.8841248,0,0,1018.93677,1.1511447,-1.3703513
2018-08-01 09:00:00,7.49,5.205414,0,0,1018.68835,2.6575143,-1.6701579
2018-08-01 10:00:00,7.29,4.8852234,0,0,1018.65094,2.974372,-1.5169467
2018-08-01 11:00:00,6.74,4.607849,0,0,1018.83594,1.4958581,-0.8700415
2018-08-01 12:00:00,6.51,4.3986206,0,0,1018.89575,1.0540848,-1.160917
2018-08-01 13:00:00,6.76,4.3174133,0,0,1018.98596,1.6008254,-1.1778582
2018-08-01 14:00:00,7.97,4.7164,0,0,1018.8787,2.001798,-1.326511
2018-08-01 15:00:00,8.87,5.6639404,0,0,1018.7328,1.9816442,-1.1877985
2018-08-01 16:00:00,9.01,8.269043,0,0,1018.40454,1.2113848,-1.1261741
2018-08-01 17:00:00,8.72,9.090393,0,0,1018.17053,1.3648982,-1.7470496
2018-08-01 18:00:00,8.87,8.520874,0,0.0157547,1018.0628,0.44771078,-1.5219526
2018-08-01 19:00:00,10.79,8.615509,0,0.17455292,1017.7735,1.6656538,-1.8827604
2018-08-01 20:00:00,10.96,8.65152,0,0.13407898,1017.49164,1.5694369,-3.0751085
2018-08-01 21:00:00,10.03,8.131195,0,2.2888184e-05,1017.3493,0.6574899,-2.513576
2018-08-01 22:00:00,6.61,6.642395,0,0.00017547607,1017.0222,-0.09124631,-1.9517674
2018-08-01 23:00:00,6.99,6.9098816,0,0.1904602,1016.70935,-0.7250834,-3.6316574
2018-08-02 00:00:00,6.41,7.1197205,0,0.11582947,1016.1294,-1.7839575,-4.4890304
2018-08-02 01:00:00,6.41,6.7373962,0,0.04008484,1015.7176,-0.0379883,-4.242942
2018-08-02 02:00:00,5.69,6.3451843,0,0.0009765625,1015.0439,-0.24846399,-3.9661498
2018-08-02 03:00:00,6.56,6.403961,0,0.001411438,1015.40875,-0.19512287,-3.9758732
2018-08-02 04:00:00,5.59,6.0794983,0,0.0018997192,1014.70526,-0.89925396,-3.5468347
2018-08-02 05:00:00,5.49,6.3036194,0,0.005180359,1014.1248,-1.8441968,-4.6852846
2018-08-02 06:00:00,5.02,6.2489624,0,0.0017929077,1013.27295,-1.6272993,-4.8725
2018-08-02 07:00:00,6.51,6.382141,0,0.0037765503,1012.2729,-1.569707,-5.7682834
2018-08-02 08:00:00,6.36,6.1994934,0,0.0009689331,1011.3217,-1.5255121,-6.289421
