Index,T2,Time,T2_WRF,P_WRF,U10_WRF,V10_WRF
0,9.31,2020-09-01 00:00:00,8.460999,1022.87744,-0.9284014,3.4000683
1,10.03,2020-09-01 01:00:00,4.395172,1023.0231,-2.84452,0.4674883
2,8.0,2020-09-01 02:00:00,4.858612,1023.0759,-3.4726315,1.087809
3,6.96,2020-09-01 03:00:00,4.179535,1023.28375,-2.0288177,-0.5763158
4,6.08,2020-09-01 04:00:00,4.6086426,1023.3413,-1.704121,-1.617069
5,5.87,2020-09-01 05:00:00,5.2960815,1023.2204,-0.15497126,-1.7749159
6,4.84,2020-09-01 06:00:00,5.491577,1023.1961,-0.6278814,-1.6461531
7,4.19,2020-09-01 07:00:00,5.589691,1023.2605,-0.5507891,-1.7512546
8,3.35,2020-09-01 08:00:00,7.9727173,1023.28687,0.31527713,-0.46932033
9,4.06,2020-09-01 09:00:00,7.7902527,1023.1202,-0.8747058,-0.4975607
10,6.03,2020-09-01 10:00:00,4.633728,1022.8215,-1.2384764,-2.3616047
11,5.74,2020-09-01 11:00:00,4.9689636,1022.4498,-1.2891049,-2.4296672
12,7.67,2020-09-01 12:00:00,5.315094,1022.49335,-1.9379431,-2.2428045
13,10.96,2020-09-01 13:00:00,7.5390625,1022.4791,-0.98970956,-1.2165304
14,13.43,2020-09-01 14:00:00,9.608551,1022.4585,-0.18281507,0.99508363
15,12.0,2020-09-01 15:00:00,10.47168,1022.1796,1.1892928,0.5048071
16,11.81,2020-09-01 16:00:00,11.045837,1021.89404,1.355777,0.47758263
17,11.71,2020-09-01 17:00:00,11.1822815,1021.59125,2.0501132,0.26131284
18,11.69,2020-09-01 18:00:00,11.123016,1021.35956,2.0558357,0.15235351
19,12.49,2020-09-01 19:00:00,10.633209,1021.3535,2.5728521,-0.14543058
20,11.71,2020-09-01 20:00:00,10.700653,1021.2316,1.0149213,0.56430304
21,12.24,2020-09-01 21:00:00,9.997559,1021.18335,1.5941669,0.88817513
22,11.05,2020-09-01 22:00:00,9.031189,1021.2605,0.375027,0.6303827
23,10.08,2020-09-01 23:00:00,7.921509,1020.8844,0.049270358,0.90814894
24,9.85,2020-09-02 00:00:00,7.815613,1021.18134,0.5406694,0.37312093
25,9.53,2020-09-02 01:00:00,5.3296814,1020.8628,-0.46356466,-2.0606792
26,9.26,2020-09-02 02:00:00,6.027893,1021.5407,0.27391428,-3.0672326
27,9.24,2020-09-02 03:00:00,6.7885437,1021.36053,1.0914342,-2.046882
28,9.21,2020-09-02 04:00:00,6.799835,1021.241,1.3737411,-0.96338445
29,9.14,2020-09-02 05:00:00,7.396698,1021.3232,3.3603935,0.19644836
