Index,T2,Time,T2_MOSA,P_MOSA,U10_MOSA,V10_MOSA
0,7.97,2020-09-01 00:00:00,6.775818,1021.6298,1.0886261,3.967315
1,8.97,2020-09-01 01:00:00,5.5346375,1018.62415,-1.660898,3.912355
2,8.69,2020-09-01 02:00:00,5.3734436,1019.19476,-2.4852247,2.5832307
3,8.07,2020-09-01 03:00:00,4.0971985,1018.7879,0.16617791,2.1465747
4,8.89,2020-09-01 04:00:00,3.8393555,1019.22845,0.9164102,2.5438201
5,8.62,2020-09-01 05:00:00,3.91214,1019.0734,0.6959707,3.1270688
6,8.17,2020-09-01 06:00:00,3.8969421,1019.04407,1.0052911,3.1373723
7,7.27,2020-09-01 07:00:00,3.819397,1019.0284,0.46789268,2.7680137
8,7.52,2020-09-01 08:00:00,3.8666382,1019.15356,0.17983931,2.889372
9,7.57,2020-09-01 09:00:00,3.623169,1018.82,0.42240962,2.6075852
10,7.22,2020-09-01 10:00:00,3.4823303,1018.55383,0.35829362,2.4642184
11,7.39,2020-09-01 11:00:00,3.087677,1018.3574,-0.073167406,2.1764283
12,7.9,2020-09-01 12:00:00,3.1329346,1018.3391,0.38301128,2.184285
13,11.83,2020-09-01 13:00:00,5.547516,1018.2226,0.6305389,2.0400856
14,11.05,2020-09-01 14:00:00,7.9571533,1018.0137,0.37497258,1.7358593
15,11.35,2020-09-01 15:00:00,9.549652,1017.5889,-0.70259273,1.3627818
16,12.29,2020-09-01 16:00:00,10.356171,1017.28534,-1.4265066,0.14963402
17,13.21,2020-09-01 17:00:00,10.777191,1016.9508,-1.738835,-0.6416604
18,13.28,2020-09-01 18:00:00,11.003784,1016.5825,-1.942733,-0.6239744
19,14.94,2020-09-01 19:00:00,10.9782715,1016.2974,-1.8243029,-1.1344576
20,14.58,2020-09-01 20:00:00,10.983673,1016.1568,-0.73391813,-1.1986488
21,13.55,2020-09-01 21:00:00,10.6579895,1015.91974,-0.61380905,-0.87471557
22,11.39,2020-09-01 22:00:00,9.226318,1015.83435,-0.34398195,-0.7823238
23,9.88,2020-09-01 23:00:00,7.5126343,1015.6454,0.008998618,-1.5180341
24,8.57,2020-09-02 00:00:00,6.57547,1015.61896,1.9087439,-0.9025719
25,8.07,2020-09-02 01:00:00,4.2105713,1014.95374,2.376922,0.32686105
26,7.14,2020-09-02 02:00:00,4.348419,1015.40485,2.8166065,0.37502408
27,7.42,2020-09-02 03:00:00,4.043518,1015.0334,2.3585405,-0.021216543
28,6.81,2020-09-02 04:00:00,4.066559,1015.25507,2.5645268,-0.6163636
29,6.99,2020-09-02 05:00:00,4.550171,1014.9881,2.9333534,-0.75642616
30,7.17,2020-09-02 06:00:00,4.44281,1015.33936,2.9035847,-0.49202487
31,7.32,2020-09-02 07:00:00,4.5487366,1015.3578,2.5140612,-0.77214664
32,7.47,2020-09-02 08:00:00,5.079193,1015.3798,2.6140685,-1.3617998
33,7.47,2020-09-02 09:00:00,5.0611877,1015.43866,2.089936,-1.247361
34,7.39,2020-09-02 10:00:00,5.194641,1015.4168,1.785599,-1.5652922
35,7.42,2020-09-02 11:00:00,5.301819,1015.46564,1.7970829,-1.6165578
36,7.64,2020-09-02 12:00:00,5.382904,1015.1492,0.7216902,-1.3014133
37,7.49,2020-09-02 13:00:00,6.256439,1014.7978,0.65523356,-2.9041615
38,7.9,2020-09-02 14:00:00,7.0527954,1014.3975,0.95132875,-4.29486
39,7.87,2020-09-02 15:00:00,7.432373,1013.77515,1.1195586,-4.901768
40,8.52,2020-09-02 16:00:00,7.634247,1013.2218,1.7370422,-6.109161
41,8.05,2020-09-02 17:00:00,7.6065674,1012.6028,-0.4844359,-7.1044736
42,9.24,2020-09-02 18:00:00,8.07074,1012.3688,2.8320549,-4.609961
43,9.29,2020-09-02 19:00:00,10.282349,1012.18353,5.102314,-0.15318882
44,9.44,2020-09-02 20:00:00,9.944458,1012.2634,5.0382667,0.5288908
45,9.04,2020-09-02 21:00:00,9.255646,1012.2667,4.726343,0.34934357
46,8.19,2020-09-02 22:00:00,7.9316406,1012.1599,3.5817127,-0.034893412
47,6.81,2020-09-02 23:00:00,6.817932,1012.1585,4.0397835,-0.49796116
48,7.42,2020-09-03 00:00:00,7.001587,1012.1121,3.3221152,0.5779077
49,7.44,2020-09-03 01:00:00,6.020569,1011.13586,3.8913023,0.49673507
50,7.04,2020-09-03 02:00:00,5.9210205,1010.9443,4.0885596,0.67112225
51,6.96,2020-09-03 03:00:00,5.917755,1011.034,4.057554,1.0856944
52,7.27,2020-09-03 04:00:00,5.7361755,1011.0918,3.7391798,0.49014348
53,6.96,2020-09-03 05:00:00,5.120697,1010.08514,2.4137726,-0.16450979
54,6.56,2020-09-03 06:00:00,5.602112,1009.90686,3.146206,-0.7110684
55,6.81,2020-09-03 07:00:00,5.793701,1009.851,3.19934,-0.5487162
56,6.23,2020-09-03 08:00:00,5.2089844,1009.6872,2.881142,-0.61279523
57,6.28,2020-09-03 09:00:00,5.329712,1009.52704,2.5300565,-1.8377959
58,6.86,2020-09-03 10:00:00,4.841858,1009.2894,3.3048668,-1.1308703
59,6.23,2020-09-03 11:00:00,4.6959534,1009.05334,2.9743445,-0.9826671
60,5.8,2020-09-03 12:00:00,5.3978577,1008.7449,3.849925,-1.6616653
61,7.04,2020-09-03 13:00:00,4.811493,1009.10406,6.4497085,-0.87292403
62,5.62,2020-09-03 14:00:00,6.4539185,1008.4861,3.268189,-3.021161
63,7.57,2020-09-03 15:00:00,6.3188477,1008.13904,3.207549,-3.0467017
64,6.53,2020-09-03 16:00:00,8.29364,1007.7997,4.851836,-3.8954747
65,8.79,2020-09-03 17:00:00,7.309662,1008.0483,5.1779494,-0.5946999
66,9.73,2020-09-03 18:00:00,8.372345,1007.8804,6.5896587,-0.52466506
67,10.0,2020-09-03 19:00:00,8.52536,1007.9956,6.9108853,-0.24547878
