Time,T2,T2_WRF,P_WRF,U10_WRF,V10_WRF
2018-08-01 00:00:00,7.62,2.4411123,0.5819642,256.5909,2.509524
2018-08-01 01:00:00,6.51,2.532445,-0.019746859,270.44678,2.532522
2018-08-01 02:00:00,6.03,3.1780677,-0.24086389,274.33414,3.1871822
2018-08-01 03:00:00,5.95,3.7191727,0.72474706,258.97308,3.7891297
2018-08-01 04:00:00,6.28,4.1547756,1.0233217,256.16345,4.2789426
2018-08-01 05:00:00,6.38,3.8759675,1.1991394,252.80908,4.0572233
2018-08-01 06:00:00,6.1,3.453042,0.29728854,265.07928,3.465816
2018-08-01 07:00:00,5.57,2.893455,-0.07339966,271.45312,2.8943858
2018-08-01 08:00:00,5.46,2.191007,-0.21927041,275.715,2.2019515
2018-08-01 09:00:00,5.49,1.7915967,-0.6770779,290.7025,1.9152684
2018-08-01 10:00:00,5.51,0.90839446,-1.3359541,325.7859,1.6155351
2018-08-01 11:00:00,5.44,-0.47473592,-2.1432056,12.489769,2.195155
2018-08-01 12:00:00,4.56,-0.14604509,-2.9210162,2.8622894,2.9246647
2018-08-01 13:00:00,4.9,-1.2615541,-3.150945,21.81984,3.3941085
2018-08-01 14:00:00,6.15,0.27711108,-3.1499116,354.97238,3.1620777
2018-08-01 15:00:00,8.59,0.38226718,-2.2117276,350.1941,2.2445192
2018-08-01 16:00:00,9.11,1.6247742,-1.7483826,317.09863,2.386783
2018-08-01 17:00:00,9.58,1.9280843,-2.521481,322.5962,3.174173
2018-08-01 18:00:00,9.61,1.8771223,-2.7750883,325.92484,3.3503287
2018-08-01 19:00:00,10.2,1.9124365,-3.1170282,328.46902,3.6569493
2018-08-01 20:00:00,9.51,1.4841824,-3.360501,336.1711,3.6736581
2018-08-01 21:00:00,9.53,1.0468459,-3.338804,342.59174,3.4990711
2018-08-01 22:00:00,8.37,0.24938247,-3.2739284,355.64407,3.2834127
2018-08-01 23:00:00,6.61,-1.6503224,-3.1228383,27.855053,3.5320933
2018-08-02 00:00:00,6.18,-2.086473,-3.2383308,32.793888,3.8522923
2018-08-02 01:00:00,6.05,-1.7224529,-3.7643993,24.587112,4.139752
2018-08-02 02:00:00,4.9,-1.623771,-4.029004,21.95044,4.3439045
2018-08-02 03:00:00,4.27,-1.2038949,-3.9167356,17.08596,4.0975823
2018-08-02 04:00:00,3.8,-1.7257537,-3.3923655,26.963207,3.8060963
2018-08-02 05:00:00,2.8,-1.094769,-3.016564,19.946808,3.2090774
2018-08-02 06:00:00,2.53,-0.8779268,-3.633578,13.583191,3.738134
2018-08-02 07:00:00,3.43,-1.0175827,-4.071204,14.033348,4.1964483
2018-08-02 08:00:00,3.77,-1.4006871,-4.1247864,18.756355,4.3561206
2018-08-02 09:00:00,3.83,-0.37223133,-5.1463575,4.1369476,5.1598015
2018-08-02 10:00:00,4.69,-0.0669104,-6.2283864,0.6154938,6.228746
2018-08-02 11:00:00,7.02,0.497433,-7.6505218,356.2799,7.666676
2018-08-02 12:00:00,4.82,0.55745155,-8.938395,356.43134,8.955761
2018-08-02 13:00:00,6.84,0.66756254,-9.78738,356.09808,9.81012
2018-08-02 14:00:00,10.34,0.8710606,-10.501772,355.2585,10.537835
2018-08-02 15:00:00,9.88,1.1338978,-11.360149,354.3,11.416598
2018-08-02 16:00:00,10.12,0.82798743,-11.750716,355.96945,11.779851
