Time,T2_mean,T2_WRF_mean,T2_max,T2_WRF_max,T2_min,T2_WRF_min,P_WRF_mean,P_WRF_max,P_WRF_min,U10_WRF_mean,U10_WRF_max,U10_WRF_min,V10_WRF_mean,V10_WRF_max,V10_WRF_min
2018-08-01,7.979583333,6.446325938,10.96,9.090393,6.51,4.3174133,1018.449094,1019.17334,1016.70935,1.555781161,2.974372,-0.7250834,-1.389538578,-0.30007133,-3.6316574
2018-08-02,7.180416667,6.887622825,8.67,8.877106,5.02,6.014374,1008.396909,1016.1294,999.71967,-1.453891347,3.9568882,-3.2682045,-7.628263204,-3.5468347,-11.602509
2018-08-03,8.270416667,8.055414808,10.12,9.555359,7.09,6.4530334,1007.703827,1011.798,1000.12463,4.8220267,6.275347,3.5078843,-3.992235721,-1.6690136,-8.494951
2018-08-04,9.891666667,9.678921958,10.81,10.151306,8.34,8.725464,1004.443649,1009.83057,1002.9389,5.284340996,8.006213,3.5494401,-7.144700463,-3.9928293,-12.457625
2018-08-05,9.872916667,8.889465354,10.64,9.612396,8.84,8.099487,1004.287098,1006.4367,1001.9967,2.775938483,3.819513,1.2859414,-3.227623829,-1.1238765,-4.451104
2018-08-06,8.369166667,7.234752654,9.24,8.147064,7.37,6.5884094,1004.389119,1007.1108,1002.7612,0.983233836,4.3666253,-0.6154828,0.4023431979,6.137655,-3.3456059
2018-08-07,7.417916667,5.78125,10.91,9.812775,4.87,3.2295227,1015.331685,1022.65625,1007.9958,1.847692532,4.0741553,0.24245903,-1.14176382,1.8568438,-3.790323
2018-08-08,8.811666667,7.390646608,11,8.824158,7.19,6.070526,1020.699727,1024.5116,1013.5118,-1.964658285,0.77580553,-3.6790547,-6.100719771,-2.7381957,-8.44453
2018-08-09,9.145833333,8.213935837,9.88,8.68277,8.42,7.9048767,1012.2925,1014.155,1011.4573,-0.7943851734,0.7113484,-2.629126,-4.116543133,-1.16332,-5.512574
2018-08-10,9.250416667,7.820645571,11.18,9.368164,7.52,5.5743103,1014.78085,1016.1889,1012.7943,-0.077983875,1.7159199,-2.662909,-1.63336486,-0.18333872,-4.1155286
2018-08-11,7.6275,7.163706504,9.14,8.847321,5.8,4.8213196,1010.04725,1014.3635,1008.3949,-1.820368715,0.48707178,-4.1229234,-4.231353017,-1.9254793,-8.914285
2018-08-12,9.4625,8.493114429,11.54,10.218475,8.12,7.1132812,1010.087515,1010.9164,1009.11304,-0.3617683779,0.9098904,-1.3558772,-5.488846192,-2.5503583,-8.21846
2018-08-13,8.742916667,7.910045675,10.1,8.735626,6.66,5.587433,1013.077568,1023.1203,1004.7735,2.69550839,7.7888026,-5.72419,-2.452378066,3.345437,-10.924071
2018-08-14,8.20625,7.217659004,9.53,10.139893,6.2,4.5935974,1020.554337,1023.6337,1016.801,0.968853044,2.6267743,-0.16845934,-5.735904433,-1.2787722,-8.28783
2018-08-15,9.332083333,8.483845992,10,9.888306,8.87,7.590393,1012.950583,1016.71655,1008.9432,-0.7123551315,1.9958792,-2.0414288,-8.399207796,-7.0412803,-9.823154
2018-08-16,9.57625,9.481455438,10.91,9.986816,8.72,8.604797,1007.257286,1009.7466,1005.37274,2.540625303,4.553195,-0.53914803,-6.317175238,-2.9723425,-10.280195
2018-08-17,7.831666667,7.85412595,9.06,9.047791,5.8,4.6948547,1011.023787,1014.3934,1009.5525,4.096132763,8.2242565,2.1218736,-1.746485842,3.3335307,-6.7445927
2018-08-18,6.404583333,5.317148842,8.69,7.4245605,4.84,4.0368347,1023.32492,1031.5134,1014.8457,3.820504075,6.0054245,1.9869599,1.486563785,5.173876,-2.2348628
2018-08-19,6.04625,4.702607458,9.31,7.986969,2.77,1.8739624,1032.589662,1034.432,1028.5664,0.49974657,2.5094717,-2.2568772,-0.02688251583,2.0876331,-1.4704785
