Time,T2,T2_WRF,P_WRF,U10_WRF,V10_WRF
2018-08-01 00:00:00,7.19,2.268254,-0.6549202,286.10516,2.3609102
2018-08-01 01:00:00,7.59,2.7419586,-0.8575024,287.3662,2.8729162
2018-08-01 02:00:00,7.29,2.6664696,-0.79549944,286.61163,2.782603
2018-08-01 03:00:00,7.67,2.5315301,-0.64627343,284.32114,2.6127217
2018-08-01 04:00:00,7.69,1.9310663,-0.30007133,278.83264,1.9542415
2018-08-01 05:00:00,7.54,1.6679722,-0.6181939,290.336,1.7788465
2018-08-01 06:00:00,7.54,1.2417542,-0.74453676,300.94626,1.4478565
2018-08-01 07:00:00,7.67,1.2722567,-1.0013003,308.2037,1.6190243
2018-08-01 08:00:00,7.72,1.1511447,-1.3703513,319.9685,1.7896918
2018-08-01 09:00:00,7.49,2.6575143,-1.6701579,302.14798,3.1387591
2018-08-01 10:00:00,7.29,2.974372,-1.5169467,297.02185,3.3388646
2018-08-01 11:00:00,6.74,1.4958581,-0.8700415,300.18372,1.7304808
2018-08-01 12:00:00,6.51,1.0540848,-1.160917,317.7613,1.5680635
2018-08-01 13:00:00,6.76,1.6008254,-1.1778582,306.34497,1.9874587
2018-08-01 14:00:00,7.97,2.001798,-1.326511,303.53082,2.4014218
2018-08-01 15:00:00,8.87,1.9816442,-1.1877985,300.93848,2.3103633
2018-08-01 16:00:00,9.01,1.2113848,-1.1261741,312.91232,1.6540016
2018-08-01 17:00:00,8.72,1.3648982,-1.7470496,322.00095,2.217009
2018-08-01 18:00:00,8.87,0.44771078,-1.5219526,343.60776,1.5864377
2018-08-01 19:00:00,10.79,1.6656538,-1.8827604,318.50122,2.5137997
2018-08-01 20:00:00,10.96,1.5694369,-3.0751085,332.96167,3.452452
2018-08-01 21:00:00,10.03,0.6574899,-2.513576,345.34125,2.598145
2018-08-01 22:00:00,6.61,-0.09124631,-1.9517674,2.6766586,1.9538991
2018-08-01 23:00:00,6.99,-0.7250834,-3.6316574,11.290993,3.7033339
2018-08-02 00:00:00,6.41,-1.7839575,-4.4890304,21.673058,4.8305173
2018-08-02 01:00:00,6.41,-0.0379883,-4.242942,0.51297,4.243112
2018-08-02 02:00:00,5.69,-0.24846399,-3.9661498,3.584671,3.9739249
2018-08-02 03:00:00,6.56,-0.19512287,-3.9758732,2.809639,3.9806583
2018-08-02 04:00:00,5.59,-0.89925396,-3.5468347,14.226814,3.6590564
2018-08-02 05:00:00,5.49,-1.8441968,-4.6852846,21.485329,5.035172
